2026-03-14 17:19:09,770 - DEBUG - Checking collisions, on_ground initially: False
2026-03-14 17:19:09,771 - DEBUG - Landed on platform at y=635
2026-03-14 17:19:09,799 - DEBUG - Checking collisions, on_ground initially: False
2026-03-14 17:19:09,799 - DEBUG - Landed on platform at y=635
2026-03-14 17:19:09,832 - DEBUG - Checking collisions, on_ground initially: False
2026-03-14 17:19:09,832 - DEBUG - Landed on platform at y=635
2026-03-14 17:19:09,857 - DEBUG - Checking collisions, on_ground initially: False
2026-03-14 17:19:09,857 - DEBUG - Landed on platform at y=635
2026-03-14 17:19:09,890 - DEBUG - Checking collisions, on_ground initially: False
2026-03-14 17:19:09,890 - DEBUG - Landed on platform at y=635
2026-03-14 17:19:09,924 - DEBUG - Checking collisions, on_ground initially: False
2026-03-14 17:19:09,924 - DEBUG - Landed on platform at y=635
2026-03-14 17:19:09,950 - DEBUG - Checking collisions, on_ground initially: False
2026-03-14 17:19:09,950 - DEBUG - Landed on platform at y=635
2026-03-14 17:19:09,983 - DEBUG - Checking collisions, on_ground initially: False
2026-03-14 17:19:09,983 - DEBUG - Landed on platform at y=635
2026-03-14 17:19:10,020 - DEBUG - Checking collisions, on_ground initially: False
2026-03-14 17:19:10,020 - DEBUG - Landed on platform at y=635
2026-03-14 17:19:10,046 - DEBUG - Checking collisions, on_ground initially: False
2026-03-14 17:19:10,046 - DEBUG - Landed on platform at y=635
2026-03-14 17:19:10,071 - DEBUG - Checking collisions, on_ground initially: False
2026-03-14 17:19:10,071 - DEBUG - Landed on platform at y=635
2026-03-14 17:19:10,104 - DEBUG - Checking collisions, on_ground initially: False
2026-03-14 17:19:10,105 - DEBUG - Landed on platform at y=635
2026-03-14 17:19:10,133 - DEBUG - Checking collisions, on_ground initially: False
2026-03-14 17:19:10,133 - DEBUG - Landed on platform at y=635
2026-03-14 17:19:10,168 - DEBUG - Checking collisions, on_ground initially: False
2026-03-14 17:19:10,168 - DEBUG - Landed on platform at y=635
2026-03-14 17:19:10,196 - DEBUG - Checking collisions, on_ground initially: False
2026-03-14 17:19:10,196 - DEBUG - Landed on platform at y=635
2026-03-14 17:19:10,232 - DEBUG - Checking collisions, on_ground initially: False
2026-03-14 17:19:10,232 - DEBUG - Landed on platform at y=635
2026-03-14 17:19:10,256 - DEBUG - Checking collisions, on_ground initially: False
2026-03-14 17:19:10,256 - DEBUG - Landed on platform at y=635
2026-03-14 17:19:10,283 - DEBUG - Checking collisions, on_ground initially: False
2026-03-14 17:19:10,283 - DEBUG - Landed on platform at y=635
2026-03-14 17:19:10,305 - DEBUG - Checking collisions, on_ground initially: False
2026-03-14 17:19:10,305 - DEBUG - Landed on platform at y=635
2026-03-14 17:19:10,329 - DEBUG - Checking collisions, on_ground initially: False
2026-03-14 17:19:10,329 - DEBUG - Landed on platform at y=635
2026-03-14 17:19:10,363 - DEBUG - Checking collisions, on_ground initially: False
2026-03-14 17:19:10,363 - DEBUG - Landed on platform at y=635
2026-03-14 17:19:10,387 - DEBUG - Checking collisions, on_ground initially: False
2026-03-14 17:19:10,387 - DEBUG - Landed on platform at y=635
2026-03-14 17:19:10,409 - DEBUG - Checking collisions, on_ground initially: False
2026-03-14 17:19:10,409 - DEBUG - Landed on platform at y=635
2026-03-14 17:19:10,432 - DEBUG - Checking collisions, on_ground initially: False
2026-03-14 17:19:10,432 - DEBUG - Landed on platform at y=635
2026-03-14 17:19:10,458 - DEBUG - Checking collisions, on_ground initially: False
2026-03-14 17:19:10,458 - DEBUG - Landed on platform at y=635
2026-03-14 17:19:10,483 - DEBUG - Checking collisions, on_ground initially: False
2026-03-14 17:19:10,484 - DEBUG - Landed on platform at y=635
2026-03-14 17:19:10,506 - DEBUG - Checking collisions, on_ground initially: False
2026-03-14 17:19:10,506 - DEBUG - Landed on platform at y=635
2026-03-14 17:19:10,529 - DEBUG - Checking collisions, on_ground initially: False
2026-03-14 17:19:10,529 - DEBUG - Landed on platform at y=635
2026-03-14 17:19:10,551 - DEBUG - Checking collisions, on_ground initially: False
2026-03-14 17:19:10,551 - DEBUG - Landed on platform at y=635
2026-03-14 17:19:10,573 - DEBUG - Checking collisions, on_ground initially: False
2026-03-14 17:19:10,573 - DEBUG - Landed on platform at y=635
2026-03-14 17:19:10,598 - DEBUG - Checking collisions, on_ground initially: False
2026-03-14 17:19:10,598 - DEBUG - Landed on platform at y=635
2026-03-14 17:19:10,621 - DEBUG - Checking collisions, on_ground initially: False
2026-03-14 17:19:10,621 - DEBUG - Landed on platform at y=635
2026-03-14 17:19:10,647 - DEBUG - Checking collisions, on_ground initially: False
2026-03-14 17:19:10,647 - DEBUG - Landed on platform at y=635
2026-03-14 17:19:10,669 - DEBUG - Checking collisions, on_ground initially: False
2026-03-14 17:19:10,669 - DEBUG - Landed on platform at y=635
2026-03-14 17:19:10,694 - DEBUG - Checking collisions, on_ground initially: False
2026-03-14 17:19:10,694 - DEBUG - Landed on platform at y=635
2026-03-14 17:19:10,720 - DEBUG - Checking collisions, on_ground initially: False
2026-03-14 17:19:10,721 - DEBUG - Landed on platform at y=635
2026-03-14 17:19:10,745 - DEBUG - Checking collisions, on_ground initially: False
2026-03-14 17:19:10,745 - DEBUG - Landed on platform at y=635
2026-03-14 17:19:10,770 - DEBUG - Checking collisions, on_ground initially: False
2026-03-14 17:19:10,771 - DEBUG - Landed on platform at y=635
2026-03-14 17:19:10,794 - DEBUG - Checking collisions, on_ground initially: False
2026-03-14 17:19:10,794 - DEBUG - Landed on platform at y=635
2026-03-14 17:19:10,826 - DEBUG - Checking collisions, on_ground initially: False
2026-03-14 17:19:10,826 - DEBUG - Landed on platform at y=635
2026-03-14 17:19:10,855 - DEBUG - Checking collisions, on_ground initially: False
2026-03-14 17:19:10,855 - DEBUG - Landed on platform at y=635
2026-03-14 17:19:10,880 - DEBUG - Checking collisions, on_ground initially: False
2026-03-14 17:19:10,880 - DEBUG - Landed on platform at y=635
2026-03-14 17:19:10,906 - DEBUG - Checking collisions, on_ground initially: False
2026-03-14 17:19:10,906 - DEBUG - Landed on platform at y=635
2026-03-14 17:19:10,930 - DEBUG - Checking collisions, on_ground initially: False
2026-03-14 17:19:10,931 - DEBUG - Landed on platform at y=635
2026-03-14 17:19:10,954 - DEBUG - Checking collisions, on_ground initially: False
